locationId;Estacion_de_Medicion;Material_Particular;Valor;dateUtc;dateLocal;Unidad_Medida;latitude;longitude;Pais;city;isMobile;Entidad;sensorType
1375;Carvajal_Incolcar;pm10;47;2023-03-12T19:54:09+00:00;2023-03-12T14:54:09-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1376;Carvajal_Incolcar;pm10;47.1;2023-03-12T14:30:06+00:00;2023-03-12T09:30:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1377;Carvajal_Incolcar;pm10;47.1;2023-03-12T22:32:11+00:00;2023-03-12T17:32:11-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1378;Carvajal_Incolcar;pm10;47.2;2023-03-12T14:46:06+00:00;2023-03-12T09:46:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1379;Carvajal_Incolcar;pm10;47.4;2023-03-12T12:52:04+00:00;2023-03-12T07:52:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1380;Carvajal_Incolcar;pm10;47.6;2023-03-12T13:24:05+00:00;2023-03-12T08:24:05-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1381;Carvajal_Incolcar;pm10;47.6;2023-03-12T13:38:05+00:00;2023-03-12T08:38:05-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1382;Carvajal_Incolcar;pm10;47.7;2023-03-12T12:02:04+00:00;2023-03-12T07:02:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1383;Carvajal_Incolcar;pm10;47.7;2023-03-12T12:50:04+00:00;2023-03-12T07:50:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1384;Carvajal_Incolcar;pm10;47.9;2023-03-12T17:00:07+00:00;2023-03-12T12:00:07-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1385;Carvajal_Incolcar;pm10;48;2023-03-12T12:14:04+00:00;2023-03-12T07:14:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1386;Carvajal_Incolcar;pm10;48;2023-03-12T12:40:04+00:00;2023-03-12T07:40:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1387;Carvajal_Incolcar;pm10;48;2023-03-12T14:44:06+00:00;2023-03-12T09:44:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1388;Carvajal_Incolcar;pm10;48;2023-03-12T22:48:11+00:00;2023-03-12T17:48:11-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1389;Carvajal_Incolcar;pm10;48.1;2023-03-12T13:06:04+00:00;2023-03-12T08:06:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1390;Carvajal_Incolcar;pm10;48.2;2023-03-12T16:54:07+00:00;2023-03-12T11:54:07-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1391;Carvajal_Incolcar;pm10;48.2;2023-03-12T16:56:07+00:00;2023-03-12T11:56:07-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1392;Carvajal_Incolcar;pm10;48.3;2023-03-12T15:54:06+00:00;2023-03-12T10:54:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1393;Carvajal_Incolcar;pm10;48.3;2023-03-12T19:34:09+00:00;2023-03-12T14:34:09-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1394;Carvajal_Incolcar;pm10;48.5;2023-03-12T19:52:09+00:00;2023-03-12T14:52:09-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1395;Carvajal_Incolcar;pm10;48.7;2023-03-12T15:44:06+00:00;2023-03-12T10:44:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1396;Carvajal_Incolcar;pm10;48.7;2023-03-12T19:06:08+00:00;2023-03-12T14:06:08-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1397;Carvajal_Incolcar;pm10;48.7;2023-03-12T19:26:09+00:00;2023-03-12T14:26:09-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1398;Carvajal_Incolcar;pm10;48.8;2023-03-12T13:18:05+00:00;2023-03-12T08:18:05-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1399;Carvajal_Incolcar;pm10;48.9;2023-03-12T14:22:06+00:00;2023-03-12T09:22:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1400;Carvajal_Incolcar;pm10;49;2023-03-12T20:06:09+00:00;2023-03-12T15:06:09-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1401;Carvajal_Incolcar;pm10;49.2;2023-03-12T11:56:04+00:00;2023-03-12T06:56:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1402;Carvajal_Incolcar;pm10;49.3;2023-03-12T12:16:04+00:00;2023-03-12T07:16:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1403;Carvajal_Incolcar;pm10;49.5;2023-03-12T15:38:06+00:00;2023-03-12T10:38:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1404;Carvajal_Incolcar;pm10;49.5;2023-03-12T19:32:09+00:00;2023-03-12T14:32:09-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1405;Carvajal_Incolcar;pm10;49.8;2023-03-12T17:02:07+00:00;2023-03-12T12:02:07-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1406;Carvajal_Incolcar;pm10;49.9;2023-03-12T11:52:04+00:00;2023-03-12T06:52:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1407;Carvajal_Incolcar;pm10;49.9;2023-03-12T14:20:06+00:00;2023-03-12T09:20:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1408;Carvajal_Incolcar;pm10;49.9;2023-03-12T15:06:06+00:00;2023-03-12T10:06:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1409;Carvajal_Incolcar;pm10;50;2023-03-12T13:10:04+00:00;2023-03-12T08:10:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1410;Carvajal_Incolcar;pm10;50.3;2023-03-12T11:54:04+00:00;2023-03-12T06:54:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1411;Carvajal_Incolcar;pm10;50.3;2023-03-12T19:28:09+00:00;2023-03-12T14:28:09-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1412;Carvajal_Incolcar;pm10;50.3;2023-03-12T19:48:09+00:00;2023-03-12T14:48:09-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1413;Carvajal_Incolcar;pm10;50.6;2023-03-12T12:20:04+00:00;2023-03-12T07:20:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1414;Carvajal_Incolcar;pm10;50.6;2023-03-12T16:58:07+00:00;2023-03-12T11:58:07-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1415;Carvajal_Incolcar;pm10;50.7;2023-03-12T13:34:05+00:00;2023-03-12T08:34:05-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1416;Carvajal_Incolcar;pm10;50.8;2023-03-12T13:02:04+00:00;2023-03-12T08:02:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
